Temporada,Div,Fecha,Equipo_L,Equipo_V,Goles_L,Goles_V,Resultados
2016,SP1,19/08/2016,La Coruna,Eibar,2,1,H
2016,SP1,19/08/2016,Malaga,Osasuna,1,1,D
2016,SP1,20/08/2016,Barcelona,Betis,6,2,H
2016,SP1,20/08/2016,Granada,Villarreal,1,1,D
2016,SP1,20/08/2016,Sevilla,Espanol,6,4,H
2016,SP1,21/08/2016,Ath Madrid,Alaves,1,1,D
2016,SP1,21/08/2016,Sociedad,Real Madrid,0,3,A
2016,SP1,21/08/2016,Sp Gijon,Ath Bilbao,2,1,H
2016,SP1,22/08/2016,Celta,Leganes,0,1,A
2016,SP1,22/08/2016,Valencia,Las Palmas,2,4,A
2016,SP1,26/08/2016,Betis,La Coruna,0,0,D
2016,SP1,26/08/2016,Espanol,Malaga,2,2,D
2016,SP1,27/08/2016,Eibar,Valencia,1,0,H
2016,SP1,27/08/2016,Leganes,Ath Madrid,0,0,D
2016,SP1,27/08/2016,Osasuna,Sociedad,0,2,A
2016,SP1,27/08/2016,Real Madrid,Celta,2,1,H
2016,SP1,28/08/2016,Alaves,Sp Gijon,0,0,D
2016,SP1,28/08/2016,Ath Bilbao,Barcelona,0,1,A
2016,SP1,28/08/2016,Las Palmas,Granada,5,1,H
2016,SP1,28/08/2016,Villarreal,Sevilla,0,0,D
2016,SP1,09/09/2016,Sociedad,Espanol,1,1,D
2016,SP1,10/09/2016,Barcelona,Alaves,1,2,A
2016,SP1,10/09/2016,Celta,Ath Madrid,0,4,A
2016,SP1,10/09/2016,Malaga,Villarreal,0,2,A
2016,SP1,10/09/2016,Real Madrid,Osasuna,5,2,H
2016,SP1,10/09/2016,Sevilla,Las Palmas,2,1,H
2016,SP1,11/09/2016,Granada,Eibar,1,2,A
2016,SP1,11/09/2016,La Coruna,Ath Bilbao,0,1,A
2016,SP1,11/09/2016,Sp Gijon,Leganes,2,1,H
2016,SP1,11/09/2016,Valencia,Betis,2,3,A
2016,SP1,16/09/2016,Betis,Granada,2,2,D
2016,SP1,17/09/2016,Ath Madrid,Sp Gijon,5,0,H
2016,SP1,17/09/2016,Eibar,Sevilla,1,1,D
2016,SP1,17/09/2016,Las Palmas,Malaga,1,0,H
2016,SP1,17/09/2016,Leganes,Barcelona,1,5,A
2016,SP1,18/09/2016,Ath Bilbao,Valencia,2,1,H
2016,SP1,18/09/2016,Espanol,Real Madrid,0,2,A
2016,SP1,18/09/2016,Osasuna,Celta,0,0,D
2016,SP1,18/09/2016,Villarreal,Sociedad,2,1,H
2016,SP1,19/09/2016,Alaves,La Coruna,0,0,D
2016,SP1,20/09/2016,Malaga,Eibar,2,1,H
2016,SP1,20/09/2016,Sevilla,Betis,1,0,H
2016,SP1,21/09/2016,Barcelona,Ath Madrid,1,1,D
2016,SP1,21/09/2016,Celta,Sp Gijon,2,1,H
2016,SP1,21/09/2016,Granada,Ath Bilbao,1,2,A
2016,SP1,21/09/2016,Real Madrid,Villarreal,1,1,D
2016,SP1,21/09/2016,Sociedad,Las Palmas,4,1,H
2016,SP1,22/09/2016,La Coruna,Leganes,1,2,A
2016,SP1,22/09/2016,Osasuna,Espanol,1,2,A
2016,SP1,22/09/2016,Valencia,Alaves,2,1,H
2016,SP1,23/09/2016,Betis,Malaga,1,0,H
2016,SP1,24/09/2016,Ath Bilbao,Sevilla,3,1,H
2016,SP1,24/09/2016,Eibar,Sociedad,2,0,H
2016,SP1,24/09/2016,Las Palmas,Real Madrid,2,2,D
2016,SP1,24/09/2016,Sp Gijon,Barcelona,0,5,A
2016,SP1,25/09/2016,Ath Madrid,La Coruna,1,0,H
2016,SP1,25/09/2016,Espanol,Celta,0,2,A
2016,SP1,25/09/2016,Leganes,Valencia,1,2,A
2016,SP1,25/09/2016,Villarreal,Osasuna,3,1,H
2016,SP1,26/09/2016,Alaves,Granada,3,1,H
2016,SP1,30/09/2016,Sociedad,Betis,1,0,H
2016,SP1,01/10/2016,Granada,Leganes,0,1,A
2016,SP1,01/10/2016,La Coruna,Sp Gijon,2,1,H
2016,SP1,01/10/2016,Osasuna,Las Palmas,2,2,D
2016,SP1,01/10/2016,Sevilla,Alaves,2,1,H
2016,SP1,02/10/2016,Celta,Barcelona,4,3,H
2016,SP1,02/10/2016,Espanol,Villarreal,0,0,D
2016,SP1,02/10/2016,Malaga,Ath Bilbao,2,1,H
2016,SP1,02/10/2016,Real Madrid,Eibar,1,1,D
2016,SP1,02/10/2016,Valencia,Ath Madrid,0,2,A
2016,SP1,14/10/2016,Las Palmas,Espanol,0,0,D
2016,SP1,15/10/2016,Ath Madrid,Granada,7,1,H
2016,SP1,15/10/2016,Barcelona,La Coruna,4,0,H
2016,SP1,15/10/2016,Betis,Real Madrid,1,6,A
2016,SP1,15/10/2016,Leganes,Sevilla,2,3,A
2016,SP1,16/10/2016,Alaves,Malaga,1,1,D
2016,SP1,16/10/2016,Ath Bilbao,Sociedad,3,2,H
2016,SP1,16/10/2016,Sp Gijon,Valencia,1,2,A
2016,SP1,16/10/2016,Villarreal,Celta,5,0,H
2016,SP1,17/10/2016,Eibar,Osasuna,2,3,A
2016,SP1,21/10/2016,Osasuna,Betis,1,2,A
2016,SP1,22/10/2016,Espanol,Eibar,3,3,D
2016,SP1,22/10/2016,Granada,Sp Gijon,0,0,D
2016,SP1,22/10/2016,Sociedad,Alaves,3,0,H
2016,SP1,22/10/2016,Valencia,Barcelona,2,3,A
2016,SP1,23/10/2016,Celta,La Coruna,4,1,H
2016,SP1,23/10/2016,Malaga,Leganes,4,0,H
2016,SP1,23/10/2016,Real Madrid,Ath Bilbao,2,1,H
2016,SP1,23/10/2016,Sevilla,Ath Madrid,1,0,H
2016,SP1,23/10/2016,Villarreal,Las Palmas,2,1,H
2016,SP1,28/10/2016,Leganes,Sociedad,0,2,A
2016,SP1,29/10/2016,Alaves,Real Madrid,1,4,A
2016,SP1,29/10/2016,Ath Madrid,Malaga,4,2,H
2016,SP1,29/10/2016,Barcelona,Granada,1,0,H
2016,SP1,29/10/2016,Sp Gijon,Sevilla,1,1,D
2016,SP1,30/10/2016,Ath Bilbao,Osasuna,1,1,D
2016,SP1,30/10/2016,Betis,Espanol,0,1,A
2016,SP1,30/10/2016,Eibar,Villarreal,2,1,H
2016,SP1,30/10/2016,Las Palmas,Celta,3,3,D
2016,SP1,31/10/2016,La Coruna,Valencia,1,1,D
2016,SP1,04/11/2016,Malaga,Sp Gijon,3,2,H
2016,SP1,05/11/2016,Granada,La Coruna,1,1,D
2016,SP1,05/11/2016,Las Palmas,Eibar,1,0,H
2016,SP1,05/11/2016,Osasuna,Alaves,0,1,A
2016,SP1,05/11/2016,Sociedad,Ath Madrid,2,0,H
2016,SP1,06/11/2016,Celta,Valencia,2,1,H
